"","date","cases_new","cases_import","cases_recovered","cluster_import","cluster_religious","cluster_community","cluster_highRisk","cluster_education","cluster_detentionCentre","cluster_workplace","new_cases_relative","ma7_new_cases_relative"
"1",2020-01-25,4,4,0,NA,NA,NA,NA,NA,NA,NA,0.0122483724975044,NA
"2",2020-01-26,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"3",2020-01-27,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"4",2020-01-28,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00349953499928697
"5",2020-01-29,3,3,0,NA,NA,NA,NA,NA,NA,NA,0.0091862793731283,0.00174976749964348
"6",2020-01-30,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.0030620931243761,0.00174976749964348
"7",2020-01-31,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00174976749964348
"8",2020-02-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00262465124946523
"9",2020-02-02,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00218720937455436
"10",2020-02-03,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00262465124946523
"11",2020-02-04,2,2,0,NA,NA,NA,NA,NA,NA,NA,0.0061241862487522,0.0030620931243761
"12",2020-02-05,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.0061241862487522,0.00349953499928697
"13",2020-02-06,2,1,0,NA,NA,NA,NA,NA,NA,NA,0.0061241862487522,0.00393697687419784
"14",2020-02-07,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.0030620931243761,0.00437441874910871
"15",2020-02-08,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.0030620931243761,0.00349953499928697
"16",2020-02-09,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.0030620931243761,0.00262465124946523
"17",2020-02-10,1,1,0,NA,NA,NA,NA,NA,NA,NA,0.0030620931243761,0.00174976749964348
"18",2020-02-11,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00174976749964348
"19",2020-02-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00262465124946523
"20",2020-02-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00218720937455436
"21",2020-02-14,1,1,4,NA,NA,NA,NA,NA,NA,NA,0.0030620931243761,0.00174976749964348
"22",2020-02-15,3,3,1,NA,NA,NA,NA,NA,NA,NA,0.0091862793731283,0.00174976749964348
"23",2020-02-16,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00174976749964348
"24",2020-02-17,0,0,3,NA,NA,NA,NA,NA,NA,NA,0,0.00174976749964348
"25",2020-02-18,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,0.00131232562473261
"26",2020-02-19,0,0,4,NA,NA,NA,NA,NA,NA,NA,0,0
"27",2020-02-20,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
"28",2020-02-21,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
"29",2020-02-22,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0
"30",2020-02-23,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
"31",2020-02-24,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,0.000437441874910871
"32",2020-02-25,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.00131232562473261
"33",2020-02-26,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.0030620931243761
"34",2020-02-27,1,1,2,NA,NA,NA,NA,NA,NA,NA,0.0030620931243761,0.0030620931243761
"35",2020-02-28,2,2,0,NA,NA,NA,NA,NA,NA,NA,0.0061241862487522,0.0030620931243761
"36",2020-02-29,4,1,0,NA,NA,NA,NA,NA,NA,NA,0.0122483724975044,0.0061241862487522
"37",2020-03-01,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.0122483724975044
"38",2020-03-02,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.0139981399971479
"39",2020-03-03,7,1,0,NA,NA,NA,NA,NA,NA,NA,0.0214346518706327,0.0253716287448305
"40",2020-03-04,14,0,1,NA,NA,NA,NA,NA,NA,NA,0.0428693037412654,0.0279962799942958
"41",2020-03-05,5,0,0,NA,NA,NA,NA,NA,NA,NA,0.0153104656218805,0.030620931243761
"42",2020-03-06,28,1,0,NA,NA,NA,NA,NA,NA,NA,0.0857386074825308,0.0384948849921567
"43",2020-03-07,10,2,1,NA,NA,NA,NA,NA,NA,NA,0.030620931243761,0.040682094366711
"44",2020-03-08,6,0,1,NA,NA,NA,NA,NA,NA,NA,0.0183725587462566,0.0433067456161762
"45",2020-03-09,18,2,1,NA,NA,NA,NA,NA,NA,NA,0.0551176762387698,0.0450565131158197
"46",2020-03-10,12,0,0,NA,NA,NA,NA,NA,NA,NA,0.0367451174925132,0.0498683737398393
"47",2020-03-11,20,3,1,NA,NA,NA,NA,NA,NA,NA,0.061241862487522,0.0634290718620763
"48",2020-03-12,9,1,6,NA,NA,NA,NA,NA,NA,NA,0.0275588381193849,0.143918376845677
"49",2020-03-13,39,1,0,NA,NA,NA,NA,NA,NA,NA,0.119421631850668,0.19072465746114
"50",2020-03-14,41,1,4,NA,NA,NA,NA,NA,NA,NA,0.12554581809942,0.237968379951514
"51",2020-03-15,190,2,5,NA,NA,NA,NA,NA,NA,NA,0.581797693631459,0.280400241817868
"52",2020-03-16,125,6,0,NA,NA,NA,NA,NA,NA,NA,0.382761640547012,0.324581871183866
"53",2020-03-17,120,3,7,NA,NA,NA,NA,NA,NA,NA,0.367451174925132,0.364389081800756
"54",2020-03-18,117,8,11,NA,NA,NA,NA,NA,NA,NA,0.358264895552004,0.413382571790773
"55",2020-03-19,110,5,15,NA,NA,NA,NA,NA,NA,NA,0.336830243681371,0.384073966171745
"56",2020-03-20,130,6,12,NA,NA,NA,NA,NA,NA,NA,0.398072106168893,0.422131409288991
"57",2020-03-21,153,11,27,NA,NA,NA,NA,NA,NA,NA,0.468500248029543,0.416007223040239
"58",2020-03-22,123,21,25,NA,NA,NA,NA,NA,NA,NA,0.37663745429826,0.440066526160336
"59",2020-03-23,212,29,20,NA,NA,NA,NA,NA,NA,NA,0.649163742367733,0.494746760524195
"60",2020-03-24,106,19,24,NA,NA,NA,NA,NA,NA,NA,0.324581871183866,0.494746760524195
