"","date","cases_new","cases_import","cases_recovered","cluster_import","cluster_religious","cluster_community","cluster_highRisk","cluster_education","cluster_detentionCentre","cluster_workplace","new_cases_relative","ma7_new_cases_relative"
"1",2021-01-02,2295,9,3321,0,2,30,33,0,135,882,7.02750372044315,6.2247978799817
"2",2021-01-03,1704,5,2726,0,0,41,25,0,83,432,5.21780668393687,6.54106835554226
"3",2021-01-04,1741,8,1010,0,0,47,7,0,37,518,5.33110412953879,6.76066417674751
"4",2021-01-05,2027,16,1221,0,0,30,14,0,111,590,6.20686276311035,7.01219325482127
"5",2021-01-06,2593,4,1129,0,2,21,12,0,81,1463,7.94000747150722,7.08043418730736
"6",2021-01-07,3027,6,2145,0,2,38,8,0,63,1403,9.26895588748645,7.39932931411739
"7",2021-01-08,2643,2,2708,0,0,75,10,0,131,935,8.09311212772603,7.61411327469862
"8",2021-01-09,2451,5,1401,0,1,91,7,0,327,472,7.50519024784582,8.17491375833436
"9",2021-01-10,2433,7,1277,0,7,83,13,0,86,492,7.45007257160705,8.34639097329942
"10",2021-01-11,2232,5,1006,0,5,127,12,0,197,348,6.83459185360745,8.48199795452179
"11",2021-01-12,3309,6,1469,0,4,208,16,0,439,769,10.1324661485605,8.73046493947117
"12",2021-01-13,2985,2,994,0,10,151,6,0,296,589,9.14034797626265,9.42074821808052
"13",2021-01-14,3337,7,1710,0,1,260,12,0,153,921,10.218204756043,9.81707055674977
"14",2021-01-15,3211,5,1939,0,15,92,20,0,12,1068,9.83238102237165,10.286883130404
"15",2021-01-16,4029,8,2148,0,4,114,6,0,110,1168,12.3371731981113,10.4277394141253
"16",2021-01-17,3339,15,2676,0,4,140,13,0,162,937,10.2243289422918,10.8752424521592
"17",2021-01-18,3306,7,2293,0,4,135,40,0,107,854,10.1232798691874,10.8021896590491
"18",2021-01-19,3631,7,2944,0,19,170,12,0,310,513,11.1184601346096,10.9859152465116
"19",2021-01-20,4008,5,2374,0,9,225,48,0,113,966,12.2728692424994,11.0935259477397
"20",2021-01-21,3170,8,2490,0,0,157,48,0,26,346,9.70683520427223,11.0965880408641
"21",2021-01-22,3631,6,2554,0,15,177,54,0,89,538,11.1184601346096,10.9837280371371
"22",2021-01-23,4275,11,4313,0,7,211,22,0,68,595,13.0904481067078,10.9636057108912
"23",2021-01-24,3346,7,4427,0,24,211,8,0,242,537,10.2457635941624,10.8201247759204
"24",2021-01-25,3048,8,3638,0,13,102,29,0,62,505,9.33325984309835,11.224321068338
"25",2021-01-26,3585,2,4076,0,11,209,21,0,59,414,10.9776038508883,12.1403243544014
"26",2021-01-27,3680,6,1858,0,28,124,25,0,64,1170,11.268502697704,12.7759273986469
"27",2021-01-28,4094,8,3281,0,19,129,27,0,27,564,12.5362092511957,13.6298139384729
"28",2021-01-29,5725,7,3423,0,21,150,10,0,419,1116,17.5304831370532,14.139871164619
"29",2021-01-30,5728,5,3805,0,11,154,9,0,132,1337,17.5396694164263,14.0830037208806
"30",2021-01-31,5298,3,4522,0,8,97,82,0,97,1349,16.2229693729446,14.3472186133268
"31",2021-02-01,4214,9,4280,0,12,89,55,0,116,917,12.9036604261209,14.5558783876592
"32",2021-02-02,3455,5,3661,0,16,62,9,0,77,1089,10.5795317447194,13.5348890516173
"33",2021-02-03,4284,6,3804,0,5,127,14,0,122,1465,13.1180069448272,12.7120608849099
"34",2021-02-04,4571,3,4092,0,11,149,14,0,237,1268,13.9968276715231,12.0265894669246
"35",2021-02-05,3391,4,3392,0,6,88,39,0,145,762,10.3835577847594,11.5392792182739
"36",2021-02-06,3847,4,1692,0,6,120,15,0,133,1020,11.7798722494749,11.2370068827105
"37",2021-02-07,3731,8,3369,0,2,138,11,0,43,1164,11.4246694470472,10.8013147752992
"38",2021-02-08,3100,1,2340,0,1,26,14,0,29,1426,9.4924886855659,10.28207126978
"39",2021-02-09,2764,6,3887,0,1,22,10,0,51,789,8.46362539577554,10.2501380129115
"40",2021-02-10,3288,5,1929,0,0,43,23,0,63,1309,10.0681621929486,10.0979082404425
"41",2021-02-11,3384,15,3774,0,0,94,28,0,93,1388,10.3621231328887,9.54366938493048
"42",2021-02-12,3318,7,3505,0,0,36,11,0,37,1459,10.1600249866799,9.13947309251283
"43",2021-02-13,3499,1,3515,0,0,91,16,0,70,1365,10.714263842192,9.12022565001675
"44",2021-02-14,2464,3,4525,0,11,79,3,0,54,627,7.54499745846271,8.9933675062926
"45",2021-02-15,2176,1,4521,0,0,45,9,0,64,497,6.66311463864239,8.6994065663525
"46",2021-02-16,2720,0,5718,0,0,85,11,0,57,1372,8.32889329830299,8.53230377013654
"47",2021-02-17,2998,7,5709,0,0,83,63,0,103,1302,9.18015518687954,8.07823910397906
"48",2021-02-18,2712,4,5320,0,40,35,39,0,43,1118,8.30439655330798,8.44262818577981
"49",2021-02-19,2936,9,4889,0,5,37,11,0,112,1230,8.99030541316822,8.44962725577839
"50",2021-02-20,2461,0,4782,0,20,61,3,0,298,743,7.53581117908958,8.33939190330085
"51",2021-02-21,3297,6,4456,0,7,38,8,0,124,1870,10.095721031068,8.5786726088771
"52",2021-02-22,2192,3,3414,0,1,88,7,0,110,824,6.71210812863241,8.23396841144733
"53",2021-02-23,2468,4,4055,0,0,74,3,0,175,805,7.55724583096021,7.9351956108832
"54",2021-02-24,3545,1,3331,0,0,70,19,0,29,2338,10.8551201259133,7.89276374901685
"55",2021-02-25,1924,6,3752,0,1,76,26,0,105,442,5.89146717129961,7.5165637365935
"56",2021-02-26,2253,7,3085,0,11,140,27,0,95,863,6.89889580921935,7.35733489412594
"57",2021-02-27,2364,1,3320,0,4,157,6,0,52,801,7.2387881460251,6.95795046233232
"58",2021-02-28,2437,1,3251,0,0,114,9,0,85,1131,7.46232094410455,6.17055508749275
"59",2021-03-01,1828,7,2486,0,0,56,4,0,113,737,5.59750623135951,6.23135950810536
"60",2021-03-02,1555,3,2528,0,1,56,4,0,113,737,4.76155480840483,6.18805276248918
"61",2021-03-03,1745,2,2276,0,0,42,3,0,47,665,5.34335250203629,5.88884252005015
"62",2021-03-04,2063,9,2922,0,0,105,15,0,99,645,6.31709811558789,5.55901134636735
"63",2021-03-05,2154,5,3275,0,6,65,1,0,81,813,6.59574858990612,5.428216225769
"64",2021-03-06,1680,3,2548,0,0,64,15,0,54,428,5.14431644895185,5.30791971016851
"65",2021-03-07,1683,10,2506,0,1,60,1,0,61,454,5.15350272832497,5.17799947331998
"66",2021-03-08,1529,9,2076,0,6,34,1,0,34,232,4.68194038717105,4.99602365335706
"67",2021-03-09,1280,2,2345,0,0,97,13,0,5,357,3.91947919920141,4.74274480778367
"68",2021-03-10,1448,10,2137,8,0,87,2,0,15,587,4.43391084409659,4.65088201405238
"69",2021-03-11,1647,5,2104,0,2,88,4,0,116,399,5.04326737584743,4.50696363720671
"70",2021-03-12,1575,7,2042,0,0,53,3,0,69,244,4.82279667089236,4.36654479536032
"71",2021-03-13,1470,12,1830,0,0,53,0,0,89,270,4.50127689283286,4.27161990850466
"72",2021-03-14,1354,14,1782,0,0,48,0,0,64,209,4.14607409040524,4.17144571915007
"73",2021-03-15,1208,9,1973,0,1,59,1,0,6,238,3.69900849424633,3.98159594543875
"74",2021-03-16,1063,4,1365,0,1,76,0,0,8,247,3.25500499121179,3.98203338731366
"75",2021-03-17,1219,7,1346,4,1,88,0,0,39,377,3.73269151861446,4.06995920417075
"76",2021-03-18,1213,6,1503,0,0,49,2,0,142,195,3.71431895986821,4.05814827354815
"77",2021-03-19,1576,11,1996,0,0,80,0,0,298,454,4.82585876401673,4.01790362105635
"78",2021-03-20,1671,2,1585,0,0,53,3,0,236,326,5.11675761083246,4.15832246290274
"79",2021-03-21,1327,11,1247,3,0,67,0,14,0,343,4.06339757604708,4.17975711477337
"80",2021-03-22,1116,8,1495,0,0,19,1,10,111,361,3.41729592680373,4.24406107038527
"81",2021-03-23,1384,9,1058,2,0,35,0,8,37,592,4.23793688413652,4.1123910660371
"82",2021-03-24,1268,5,1083,0,0,34,22,7,41,385,3.88273408170889,3.90591850107917
"83",2021-03-25,1360,1,1491,0,0,110,1,16,62,207,4.16444664915149,3.8949824542064
